X,CH1,
Second,Volt,
4.64000e-05,-6.80e-02,
4.65000e-05,7.59e-02,
4.66000e-05,7.59e-02,
4.67000e-05,-6.20e-02,
4.68000e-05,7.20e-02,
4.69000e-05,-7.80e-02,
4.70000e-05,-7.59e-02,
4.71000e-05,7.59e-02,
4.72000e-05,7.99e-02,
4.73000e-05,-6.59e-02,
4.74000e-05,-7.80e-02,
4.75000e-05,6.80e-02,
4.76000e-05,7.59e-02,
4.77000e-05,-7.40e-02,
4.78000e-05,-7.80e-02,
4.79000e-05,7.20e-02,
4.80000e-05,7.59e-02,
4.81000e-05,-7.80e-02,
4.82000e-05,-6.80e-02,
4.83000e-05,7.59e-02,
4.84000e-05,-7.59e-02,
4.85000e-05,7.59e-02,
4.86000e-05,-7.80e-02,
4.87000e-05,7.40e-02,
4.88000e-05,7.59e-02,
4.89000e-05,-7.80e-02,
4.90000e-05,7.80e-02,
4.91000e-05,-7.80e-02,
4.92000e-05,7.59e-02,
4.93000e-05,-7.59e-02,
4.94000e-05,7.59e-02,
4.95000e-05,-7.59e-02,
4.96000e-05,7.80e-02,
4.97000e-05,-7.80e-02,
4.98000e-05,7.80e-02,
4.99000e-05,-7.40e-02,
5.00000e-05,-7.40e-02,
5.01000e-05,7.59e-02,
5.02000e-05,-7.20e-02,
5.03000e-05,7.59e-02,
5.04000e-05,-7.80e-02,
5.05000e-05,7.40e-02,
5.06000e-05,7.59e-02,
5.07000e-05,-7.40e-02,
5.08000e-05,-7.20e-02,
5.09000e-05,7.99e-02,
5.10000e-05,7.59e-02,
5.11000e-05,-7.40e-02,
5.12000e-05,7.80e-02,
5.13000e-05,-7.40e-02,
5.14000e-05,-7.80e-02,
5.15000e-05,7.40e-02,
